,id_x,object_id_x,degree_type,subject,institution,graduated_at,object_id_numeric,id_y,funding_round_id,object_id_y,funded_at,funding_round_type,funding_round_code,raised_amount_usd,pre_money_valuation_usd,post_money_valuation_usd,participants,is_first_round,is_last_round
2625,10526,p:72721,BTECH,EE,IIT Kanpur,2002-01-01,72721,22264,22264,c:72721,2010-10-01,angel,seed,20000.0,0.0,0.0,0,1,1
2626,10530,p:77257,BS,International Business,Universidad Pontificia de Comillas - ICADE,2007-01-01,77257,23165,23165,c:77257,,angel,seed,0.0,0.0,0.0,0,0,0
2627,10531,p:77257,BS,International Business,Northeastern University,2007-01-01,77257,23165,23165,c:77257,,angel,seed,0.0,0.0,0.0,0,0,0
2628,10546,p:77344,Final year,,University of Manchester Institute of Science and Technology,2007-01-01,77344,23586,23586,c:77344,2011-06-14,series-a,a,4000000.0,0.0,0.0,1,1,1
2629,10547,p:77344,MS,Management Finance,Paris IX Dauphine,2008-01-01,77344,23586,23586,c:77344,2011-06-14,series-a,a,4000000.0,0.0,0.0,1,1,1
2630,10557,p:77411,MS,Next Generation Networks,Budapest University of Technology and Economics,2009-01-01,77411,23205,23205,c:77411,2011-05-25,venture,unattributed,1622348.0,0.0,0.0,1,1,1
2631,10567,p:53007,MBA,Business Strategy and Administartion,Indian Institute of Management - Calcutta,2006-01-01,53007,17348,17348,c:53007,2010-07-29,series-a,a,0.0,0.0,0.0,0,1,1
2632,10596,p:17792,BA,Political Science,Grinnell College,2004-01-01,17792,48808,48808,c:17792,2013-09-16,venture,unattributed,0.0,0.0,0.0,2,1,1
2633,10612,p:39694,MBA,Finanace and Marketing,Columbia University,1989-01-01,39694,11137,11137,c:39694,2009-10-16,venture,unattributed,4000000.0,0.0,0.0,1,0,1
2634,10612,p:39694,MBA,Finanace and Marketing,Columbia University,1989-01-01,39694,36136,36136,c:39694,2013-03-11,series-b,b,8000000.0,0.0,0.0,2,1,0
2635,10613,p:39694,BA,Computer Science and Psychology,Cornell University,1985-01-01,39694,11137,11137,c:39694,2009-10-16,venture,unattributed,4000000.0,0.0,0.0,1,0,1
2636,10613,p:39694,BA,Computer Science and Psychology,Cornell University,1985-01-01,39694,36136,36136,c:39694,2013-03-11,series-b,b,8000000.0,0.0,0.0,2,1,0
2637,10614,p:58803,BS,Communication,Graphic Design,2007-01-01,58803,19041,19041,c:58803,2005-03-18,series-a,a,6000000.0,0.0,0.0,2,1,1
2638,10626,p:13086,Engineer,Information Systems,University of Buenos Aires,1999-01-01,13086,14826,14826,c:13086,2006-08-01,angel,seed,1213010.0,0.0,0.0,3,0,1
2639,10626,p:13086,Engineer,Information Systems,University of Buenos Aires,1999-01-01,13086,22206,22206,c:13086,2007-12-01,series-a,a,5164439.0,0.0,0.0,4,0,0
2640,10626,p:13086,Engineer,Information Systems,University of Buenos Aires,1999-01-01,13086,22207,22207,c:13086,2010-08-01,series-b,b,3901066.0,0.0,0.0,5,1,0
2641,10644,p:77898,Graduated,Industrial Engineering,Instututo Tecnologico de Chihuahua,1990-01-01,77898,23308,23308,c:77898,,angel,seed,0.0,0.0,0.0,1,0,0
2642,10652,p:77968,BA and Part III,Mathematics,University of Cambridge,2002-01-01,77968,23323,23323,c:77968,2011-06-06,series-a,a,1000000.0,0.0,0.0,1,0,1
2643,10652,p:77968,BA and Part III,Mathematics,University of Cambridge,2002-01-01,77968,46583,46583,c:77968,2012-04-19,venture,partial,320000.0,0.0,0.0,0,1,0
2644,10709,p:54401,BS,Environmental Toxicology,"University of California, Davis (UCD)",1994-01-01,54401,24654,24654,c:54401,2010-06-08,angel,seed,250000.0,0.0,0.0,0,1,1
2645,10714,p:17678,MBA,Finance,The Wharton School of the University of Pennsylvania,1996-01-01,17678,4829,4829,c:17678,2008-06-09,series-a,a,2300000.0,0.0,0.0,0,1,1
2646,10715,p:17678,BS,Mechanical Engineering,University of Virginia,1991-01-01,17678,4829,4829,c:17678,2008-06-09,series-a,a,2300000.0,0.0,0.0,0,1,1
2647,10718,p:78430,BA,Environmental Science,"University of California, Berkeley",1990-01-01,78430,55629,55629,c:78430,2013-11-21,other,grant,4500000.0,0.0,0.0,0,1,1
2648,10720,p:54101,BA,Economics,Harvard University,2005-01-01,54101,29291,29291,c:54101,2010-01-01,angel,seed,15000.0,0.0,0.0,1,1,1
2649,10721,p:54101,MBA,Business,Harvard Business School,2008-01-01,54101,29291,29291,c:54101,2010-01-01,angel,seed,15000.0,0.0,0.0,1,1,1
2650,10774,p:78847,BA,Entrepreneurship,University of San Francisco (USF),2008-01-01,78847,26190,26190,c:78847,2013-03-08,angel,angel,1250000.0,0.0,0.0,9,1,1
2651,10804,p:79111,Master degree,Mathematical Engineering,Polytechnic of Milan,2007-01-01,79111,36546,36546,c:79111,2012-11-15,angel,seed,150000.0,0.0,2500000.0,1,1,1
2652,10805,p:79111,Master degree,Engineering Sciences,Ecole Centrale Paris,2006-01-01,79111,36546,36546,c:79111,2012-11-15,angel,seed,150000.0,0.0,2500000.0,1,1,1
2653,10834,p:79244,BA,Cognitive Science,UCSD,1989-01-01,79244,23607,23607,c:79244,2011-06-15,venture,unattributed,6000000.0,0.0,0.0,0,1,1
2654,10835,p:36774,MS,Engineering-Economic Systems,Stanford University,1990-01-01,36774,9886,9886,c:36774,2009-09-01,angel,angel,13000.0,0.0,0.0,0,1,1
2655,10837,p:76936,BE,Electrical Engineering,Princeton University,1998-01-01,76936,23073,23073,c:76936,2011-05-16,angel,angel,400000.0,0.0,0.0,0,1,1
2656,10851,p:79302,MBA,Commerce,Bits pilani,1994-01-01,79302,26370,26370,c:79302,2010-05-01,angel,seed,250000.0,0.0,0.0,0,1,1
2657,10868,p:46254,BS,Operations Research,Columbia University,2001-01-01,46254,14612,14612,c:46254,2006-03-09,series-a,a,4000000.0,0.0,0.0,1,1,1
2658,10883,p:79598,PhD,Strategic Management,"Kenan-Flagler Business School, University of North Carolina at C",2005-01-01,79598,48721,48721,c:79598,2013-09-11,venture,partial,280000.0,0.0,0.0,0,1,0
2659,10883,p:79598,PhD,Strategic Management,"Kenan-Flagler Business School, University of North Carolina at C",2005-01-01,79598,55428,55428,c:79598,2011-02-09,venture,partial,300000.0,0.0,0.0,0,0,1
2660,10884,p:79598,BS,Entrepreneurship,University of Oregon,1998-01-01,79598,48721,48721,c:79598,2013-09-11,venture,partial,280000.0,0.0,0.0,0,1,0
